"0","7277","6015","5533","5783","8406","5361","7918","9607","4150","7567","9170","7711","8701","7596","8656","5096","8469","6562","7854","4545","9211","6056","8164","6299","4684","11830","8707","7576","7659"
"7287","0","1879","4715","4696","3518","2141","5260","2745","3328","563","1530","1413","1904","778","1507","4211","1821","2092","1304","3411","1570","1920","3276","2094","4220","5032","2018","2688","1011"
"7902","2339","0","1672","7534","3030","1786","2052","4859","2977","2626","2720","1566","3953","1906","3570","1798","2781","1267","1709","2062","4462","41","2788","2211","1915","8624","3958","2201","1819"
"5081","5345","1227","0","3041","3178","1541","1091","7675","1409","5635","7237","2713","6769","3800","6723","704","4774","1338","2855","968","7278","1268","2936","1792","821","9551","6774","2348","3443"
"7055","5327","5496","4483","0","7209","3244","5028","7657","1684","5617","7220","6744","6751","5646","6706","3979","8795","5365","6887","2180","7260","5537","6967","4349","2517","9880","6757","6380","5709"
"9607","3096","3005","2785","5855","0","3854","1964","9695","4223","3384","3590","1944","8789","3031","8744","4206","3199","2236","2087","3941","3799","3046","1030","6387","3991","10371","8795","907","2674"
"4710","2167","1842","1983","2823","4912","0","2363","5247","1191","2454","4810","2508","4341","2481","4296","1547","3266","3068","2651","995","4851","1882","4670","425","1135","7470","4347","4083","2456"
"8450","5269","1565","720","5735","1972","2238","0","7599","4103","5560","7162","2524","6693","3611","6648","1457","4663","1434","2666","3821","7203","1606","1590","4291","3871","10653","6699","1282","3254"
"9342","3230","4537","6769","6750","5622","4489","7314","0","5383","2322","1619","2927","1002","2319","1406","6265","1848","7651","3211","5466","1659","4578","9253","4149","6275","3720","1116","8666","3675"
"4106","3519","2596","1551","1632","4309","1560","2128","5849","0","3809","5412","3844","4943","4931","4897","1048","5895","2464","3986","496","5452","2636","4067","1173","833","10681","4948","3479","4574"
"7972","679","2148","2800","5380","3405","2445","4336","2871","5167","0","910","1308","2583","614","2186","5150","1261","1980","1199","4885","1119","2189","3163","2779","4935","7221","2697","2576","906"
"9115","933","2431","6542","5691","3850","2705","10761","1751","5156","654","0","1679","1452","868","1055","6039","1107","2570","1680","11334","209","2472","3753","3922","11384","6194","1566","3166","1496"
"8167","1293","1709","2733","5887","2493","2051","3416","3477","4255","1581","1646","0","3553","1228","2802","4237","1215","2268","284","3972","1855","1750","2250","2476","4022","7882","3559","1663","871"
"8507","1960","3273","5935","5916","4912","3535","6480","1539","4548","1497","1102","2807","0","1712","582","5431","1808","9914","2698","4631","1142","3314","4670","3314","5440","3549","114","4082","2405"
"7352","65","1944","4780","4761","3583","2206","5325","2810","3393","353","1263","1478","1969","0","1572","4276","1886","2157","1369","3476","1635","1985","3341","2159","4285","5097","2083","2753","1076"
"8355","1572","2885","5783","5111","4523","3503","6328","1875","5136","1110","631","2419","963","1324","0","5279","1413","9523","2309","4479","672","2926","4281","3162","5288","4092","1077","3694","2016"
"4746","2706","1615","782","2707","3510","1081","1423","5748","1075","2993","5311","3045","4842","2733","4796","0","5106","1670","3187","633","5351","1656","3267","1332","486","9882","4847","2680","3775"
"9715","1634","2965","3989","7551","3950","3306","4757","2568","5919","1690","1145","1256","2533","1569","1684","5902","0","3523","1539","5637","1245","3005","3506","4522","5687","6853","2648","2919","2127"
"8217","1963","890","807","6669","2198","2032","1186","7659","3960","5619","7222","1542","6753","1898","6708","1325","2756","0","1875","3677","7263","931","1955","4351","1442","8571","6759","1368","2463"
"7985","1432","1528","2552","5705","2311","1869","2764","4599","4073","1720","1927","281","3693","1368","2942","4056","1495","2086","0","3791","2135","1568","2069","2295","3841","7701","3698","1482","1011"
"4656","2930","1658","1140","2616","3734","1305","1647","5972","984","3217","5535","3269","5066","2957","5021","636","5330","1894","3411","0","5575","1698","3492","1526","318","10106","5072","2904","3999"
"8012","725","2222","2874","6144","3860","2497","3253","2693","4052","445","1355","1756","1851","660","1454","4935","1705","2425","1646","4136","0","2263","3618","2819","4945","4980","1965","3031","1353"
"7861","2298","747","1632","7494","2989","1745","2011","4818","2936","2585","2680","1525","3912","1865","3529","1758","2740","1226","1668","2021","4421","0","2747","2170","1875","8583","3918","2160","1778"
"9233","2979","2738","2411","5588","1277","3737","1590","9428","3956","3267","3473","1828","8522","2915","8476","3938","3042","1969","1970","3673","9031","2778","0","6120","3723","10103","8527","587","2558"
"4640","2320","1619","1760","2343","4843","965","2140","4888","969","2607","4451","2398","3982","2634","3937","1324","3419","2386","2540","772","4492","1660","4600","0","912","7111","3988","4013","2609"
"4336","2948","1824","1271","2277","4539","1593","1814","5623","645","3235","5185","4074","4717","3262","4671","767","6125","2694","4216","166","5226","1865","4296","1206","0","10911","4722","3709","4804"
"13540","7209","9359","9045","12194","10862","8975","9706","4512","10562","7496","7361","7838","3982","7144","6026","10545","7711","8590","7728","10279","7569","9399","10480","8347","10330","0","4096","10172","7435"
"8393","1846","3159","5821","5802","4798","3421","6366","1425","4434","1383","988","2693","767","1598","468","5317","1694","9800","2584","4517","1028","3200","4556","3200","5326","3993","0","3968","2291"
"9398","2546","2150","1847","5000","948","4123","1282","8841","3368","6801","3040","1394","7934","2482","7889","3351","2609","1381","1537","3086","8444","2191","587","5532","3136","9516","7940","0","2124"
"7942","664","2119","3140","6294","2944","2416","3751","3146","4662","952","1184","761","2568","599","2171","4645","811","2675","589","4379","1393","2159","2658","2749","4430","7207","2682","2070","0"
